
No. of threads | Approach      | M1 size   | M2 size   | Execution time
-------------------------------------------------------------------------------------
4              | ThreadPool    | 2x3       | 3x3       | 0.005000114440917969 s  (5.0 ms)
4              | NormalThreads | 2x3       | 3x3       | 0.002000093460083008 s  (2.0 ms)
4              | NormalThreads | 5x5       | 5x5       | 9.999275207519531E-4 s  (1.0 ms)
4              | ThreadPool    | 5x5       | 5x5       | 0.004999876022338867 s  (5.0 ms)
4              | ThreadPool    | 8x7       | 7x6       | 0.005000114440917969 s  (5.0 ms)
4              | NormalThreads | 8x7       | 7x6       | 0.0019998550415039062 s  (2.0 ms)
4              | NormalThreads | 11x11     | 11x11     | 0.002000093460083008 s  (2.0 ms)
4              | ThreadPool    | 11x11     | 11x11     | 0.005000114440917969 s  (5.0 ms)
4              | ThreadPool    | 20x20     | 20x20     | 0.003999948501586914 s  (4.0 ms)
4              | NormalThreads | 20x20     | 20x20     | 0.002000093460083008 s  (2.0 ms)
10             | NormalThreads | 20x20     | 20x20     | 0.002000093460083008 s  (2.0 ms)
10             | ThreadPool    | 20x20     | 20x20     | 0.006000041961669922 s  (6.0 ms)
6              | NormalThreads | 55x55     | 55x55     | 0.009999990463256836 s  (10.0 ms)
6              | ThreadPool    | 55x55     | 55x55     | 0.011999845504760742 s  (12.0 ms)
6              | NormalThreads | 110x110   | 110x110   | 0.01100015640258789 s  (11.0 ms)
6              | ThreadPool    | 110x110   | 110x110   | 0.015000104904174805 s  (15.0 ms)
6              | ThreadPool    | 256x256   | 256x256   | 0.026999950408935547 s  (27.0 ms)
6              | NormalThreads | 420x420   | 420x420   | 0.0559999942779541 s  (56.0 ms)
6              | ThreadPool    | 420x420   | 420x420   | 0.05900001525878906 s  (59.0 ms)
12             | ThreadPool    | 420x420   | 420x420   | 0.05000019073486328 s  (50.0 ms)
6              | NormalThreads | 1001x1001 | 1001x1001 | 0.7209999561309814 s  (721.0 ms)
6              | ThreadPool    | 1001x1001 | 1001x1001 | 0.7809998989105225 s  (781.0 ms)
16             | NormalThreads | 1001x1001 | 1001x1001 | 0.8090000152587891 s  (809.0 ms)
16             | ThreadPool    | 1001x1001 | 1001x1001 | 0.814000129699707 s  (814.0 ms)
12             | ThreadPool    | 1001x1001 | 1001x1001 | 0.8039999008178711 s  (804.0 ms)
12             | NormalThreads | 1001x1001 | 1001x1001 | 0.8000001907348633 s  (800.0 ms)
12             | NormalThreads | 2022x2022 | 2022x2022 | 10.517000198364258 s  (10517.0 ms)
12             | ThreadPool    | 2022x2022 | 2022x2022 | 10.582000017166138 s  (10582.0 ms)
